"","gene","symbol","name","regulator_readable","function.","category"
"20","Rv3413c","Rv3413c","SigH","sigH","Sigma Factor involved in heat shock and oxidative stress response","Virulence/Persistence"
"21","Rv2293c","Rv2293c","SigH","sigH","Sigma Factor involved in heat shock and oxidative stress response","Virulence/Persistence"
"22","Rv3209","Rv3209","SigH","sigH","Sigma Factor involved in heat shock and oxidative stress response","Virulence/Persistence"
"23","Rv0888","Rv0888","SigH","sigH","Sigma Factor involved in heat shock and oxidative stress response","Virulence/Persistence"
"24","Rv3675","Rv3675","SigH","sigH","Sigma Factor involved in heat shock and oxidative stress response","Virulence/Persistence"
"25","Rv1075c","Rv1075c","SigH","sigH","Sigma Factor involved in heat shock and oxidative stress response","Virulence/Persistence"
"26","Rv3341","metA","SigH","sigH","Sigma Factor involved in heat shock and oxidative stress response","Virulence/Persistence"
"27","Rv2525c","Rv2525c","SigH","sigH","Sigma Factor involved in heat shock and oxidative stress response","Virulence/Persistence"
"28","Rv0040c","mtc28","SigH","sigH","Sigma Factor involved in heat shock and oxidative stress response","Virulence/Persistence"
"29","Rv3310","sapM","SigH","sigH","Sigma Factor involved in heat shock and oxidative stress response","Virulence/Persistence"
"30","Rv1157c","Rv1157c","SigH","sigH","Sigma Factor involved in heat shock and oxidative stress response","Virulence/Persistence"
"31","Rv3352c","Rv3352c","SigH","sigH","Sigma Factor involved in heat shock and oxidative stress response","Virulence/Persistence"
"32","Rv1690","lprJ","SigH","sigH","Sigma Factor involved in heat shock and oxidative stress response","Virulence/Persistence"
"33","Rv0179c","lprO","SigH","sigH","Sigma Factor involved in heat shock and oxidative stress response","Virulence/Persistence"
"34","Rv1497","lipL","SigH","sigH","Sigma Factor involved in heat shock and oxidative stress response","Virulence/Persistence"
"35","Rv0312","Rv0312","SigH","sigH","Sigma Factor involved in heat shock and oxidative stress response","Virulence/Persistence"
"36","Rv0039c","Rv0039c","SigH","sigH","Sigma Factor involved in heat shock and oxidative stress response","Virulence/Persistence"
"37","Rv1773c","Rv1773c","SigH","sigH","Sigma Factor involved in heat shock and oxidative stress response","Virulence/Persistence"
"38","Rv1477","ripA","SigH","sigH","Sigma Factor involved in heat shock and oxidative stress response","Virulence/Persistence"
"39","Rv3353c","Rv3353c","SigH","sigH","Sigma Factor involved in heat shock and oxidative stress response","Virulence/Persistence"
"40","Rv2292c","Rv2292c","SigH","sigH","Sigma Factor involved in heat shock and oxidative stress response","Virulence/Persistence"
"41","Rv0208c","Rv0208c","SigH","sigH","Sigma Factor involved in heat shock and oxidative stress response","Virulence/Persistence"
"42","Rv1772","Rv1772","SigH","sigH","Sigma Factor involved in heat shock and oxidative stress response","Virulence/Persistence"
"43","Rv2075c","Rv2075c","SigH","sigH","Sigma Factor involved in heat shock and oxidative stress response","Virulence/Persistence"
"44","Rv2894c","xerC","SigH","sigH","Sigma Factor involved in heat shock and oxidative stress response","Virulence/Persistence"
"45","Rv0309","Rv0309","SigH","sigH","Sigma Factor involved in heat shock and oxidative stress response","Virulence/Persistence"
"48","Rv0343","iniC","IniR","iniR","Transcription factor that regulates the expression of the ini operon (iniBAC)","Antibiotic"
"49","Rv0342","iniA","IniR","iniR","Transcription factor that regulates the expression of the ini operon (iniBAC)","Antibiotic"
"50","Rv0341","iniB","IniR","iniR","Transcription factor that regulates the expression of the ini operon (iniBAC)","Antibiotic"
"51","Rv1584c","Rv1584c","PyrR","pyrR","Transcription factor that regulates the expression of pyrimidine nucleotide operons","Nucleic Acids"
"52","Rv2353c",NA,"PyrR","pyrR","Transcription factor that regulates the expression of pyrimidine nucleotide operons","Nucleic Acids"
"53","Rv2159c","Rv2159c","PyrR","pyrR","Transcription factor that regulates the expression of pyrimidine nucleotide operons","Nucleic Acids"
"54","Rv3143","Rv3143","PyrR","pyrR","Transcription factor that regulates the expression of pyrimidine nucleotide operons","Nucleic Acids"
"55","Rv2478c","Rv2478c","PyrR","pyrR","Transcription factor that regulates the expression of pyrimidine nucleotide operons","Nucleic Acids"
"56","Rv3323c","moaX","PyrR","pyrR","Transcription factor that regulates the expression of pyrimidine nucleotide operons","Nucleic Acids"
"57","Rv2108","PPE36","PyrR","pyrR","Transcription factor that regulates the expression of pyrimidine nucleotide operons","Nucleic Acids"
"58","Rv3829c","Rv3829c","PyrR","pyrR","Transcription factor that regulates the expression of pyrimidine nucleotide operons","Nucleic Acids"
"59","Rv3366","spoU","PyrR","pyrR","Transcription factor that regulates the expression of pyrimidine nucleotide operons","Nucleic Acids"
"60","Rv1759c","wag22","PyrR","pyrR","Transcription factor that regulates the expression of pyrimidine nucleotide operons","Nucleic Acids"
"61","Rv2017","Rv2017","PyrR","pyrR","Transcription factor that regulates the expression of pyrimidine nucleotide operons","Nucleic Acids"
"62","Rv1574","Rv1574","PyrR","pyrR","Transcription factor that regulates the expression of pyrimidine nucleotide operons","Nucleic Acids"
"63","Rv2658c","Rv2658c","PyrR","pyrR","Transcription factor that regulates the expression of pyrimidine nucleotide operons","Nucleic Acids"
"64","Rv1580c","Rv1580c","PyrR","pyrR","Transcription factor that regulates the expression of pyrimidine nucleotide operons","Nucleic Acids"
"65","Rv0072","Rv0072","PyrR","pyrR","Transcription factor that regulates the expression of pyrimidine nucleotide operons","Nucleic Acids"
"66","Rv2819c","Rv2819c","PyrR","pyrR","Transcription factor that regulates the expression of pyrimidine nucleotide operons","Nucleic Acids"
"67","Rv2659c","Rv2659c","PyrR","pyrR","Transcription factor that regulates the expression of pyrimidine nucleotide operons","Nucleic Acids"
"68","Rv3324c","moaC3","PyrR","pyrR","Transcription factor that regulates the expression of pyrimidine nucleotide operons","Nucleic Acids"
"69","Rv3408","vapC47","PyrR","pyrR","Transcription factor that regulates the expression of pyrimidine nucleotide operons","Nucleic Acids"
"70","Rv1582c","Rv1582c","PyrR","pyrR","Transcription factor that regulates the expression of pyrimidine nucleotide operons","Nucleic Acids"
"71","Rv3473c","bpoA","PyrR","pyrR","Transcription factor that regulates the expression of pyrimidine nucleotide operons","Nucleic Acids"
"72","Rv2527","vapC17","PyrR","pyrR","Transcription factor that regulates the expression of pyrimidine nucleotide operons","Nucleic Acids"
"73","Rv3831","Rv3831","PyrR","pyrR","Transcription factor that regulates the expression of pyrimidine nucleotide operons","Nucleic Acids"
"74","Rv0071","Rv0071","PyrR","pyrR","Transcription factor that regulates the expression of pyrimidine nucleotide operons","Nucleic Acids"
"75","Rv1579c","Rv1579c","PyrR","pyrR","Transcription factor that regulates the expression of pyrimidine nucleotide operons","Nucleic Acids"
"76","Rv3322c","Rv3322c","PyrR","pyrR","Transcription factor that regulates the expression of pyrimidine nucleotide operons","Nucleic Acids"
"77","Rv1576c","Rv1576c","PyrR","pyrR","Transcription factor that regulates the expression of pyrimidine nucleotide operons","Nucleic Acids"
"78","Rv2107","PE22","PyrR","pyrR","Transcription factor that regulates the expression of pyrimidine nucleotide operons","Nucleic Acids"
"79","Rv1585c","Rv1585c","PyrR","pyrR","Transcription factor that regulates the expression of pyrimidine nucleotide operons","Nucleic Acids"
"80","Rv0073","Rv0073","PyrR","pyrR","Transcription factor that regulates the expression of pyrimidine nucleotide operons","Nucleic Acids"
"81","Rv1762c","Rv1762c","PyrR","pyrR","Transcription factor that regulates the expression of pyrimidine nucleotide operons","Nucleic Acids"
"82","Rv1583c","Rv1583c","PyrR","pyrR","Transcription factor that regulates the expression of pyrimidine nucleotide operons","Nucleic Acids"
"83","Rv1577c","Rv1577c","PyrR","pyrR","Transcription factor that regulates the expression of pyrimidine nucleotide operons","Nucleic Acids"
"84","Rv1761c","Rv1761c","PyrR","pyrR","Transcription factor that regulates the expression of pyrimidine nucleotide operons","Nucleic Acids"
"85","Rv3407","vapB47","PyrR","pyrR","Transcription factor that regulates the expression of pyrimidine nucleotide operons","Nucleic Acids"
"86","Rv1578c","Rv1578c","PyrR","pyrR","Transcription factor that regulates the expression of pyrimidine nucleotide operons","Nucleic Acids"
"87","Rv2818c","Rv2818c","PyrR","pyrR","Transcription factor that regulates the expression of pyrimidine nucleotide operons","Nucleic Acids"
"88","Rv1573","Rv1573","PyrR","pyrR","Transcription factor that regulates the expression of pyrimidine nucleotide operons","Nucleic Acids"
"89","Rv1586c","Rv1586c","PyrR","pyrR","Transcription factor that regulates the expression of pyrimidine nucleotide operons","Nucleic Acids"
"90","Rv1760","Rv1760","PyrR","pyrR","Transcription factor that regulates the expression of pyrimidine nucleotide operons","Nucleic Acids"
"91","Rv1581c","Rv1581c","PyrR","pyrR","Transcription factor that regulates the expression of pyrimidine nucleotide operons","Nucleic Acids"
"92","Rv0826","Rv0826","PyrR","pyrR","Transcription factor that regulates the expression of pyrimidine nucleotide operons","Nucleic Acids"
"93","Rv1575","Rv1575","PyrR","pyrR","Transcription factor that regulates the expression of pyrimidine nucleotide operons","Nucleic Acids"
"94","Rv2077c","Rv2077c","PyrR","pyrR","Transcription factor that regulates the expression of pyrimidine nucleotide operons","Nucleic Acids"
"95","Rv1378c","Rv1378c","WhiB4","whiB4","Redox-Responsive transcription regulator that regulates protection response during infection","Redox"
"96","Rv2790c","ltp1","WhiB4","whiB4","Redox-Responsive transcription regulator that regulates protection response during infection","Redox"
"97","Rv0060","Rv0060","WhiB4","whiB4","Redox-Responsive transcription regulator that regulates protection response during infection","Redox"
"98","Rv0095c","Rv0095c","WhiB4","whiB4","Redox-Responsive transcription regulator that regulates protection response during infection","Redox"
"99","Rv1377c","Rv1377c","WhiB4","whiB4","Redox-Responsive transcription regulator that regulates protection response during infection","Redox"
"100","Rv0057","Rv0057","WhiB4","whiB4","Redox-Responsive transcription regulator that regulates protection response during infection","Redox"
"101","Rv1317c","alkA","WhiB4","whiB4","Redox-Responsive transcription regulator that regulates protection response during infection","Redox"
"102","Rv0184","Rv0184","WhiB4","whiB4","Redox-Responsive transcription regulator that regulates protection response during infection","Redox"
"103","Rv0182c","sigG","WhiB4","whiB4","Redox-Responsive transcription regulator that regulates protection response during infection","Redox"
"104","Rv2736c","recX","WhiB4","whiB4","Redox-Responsive transcription regulator that regulates protection response during infection","Redox"
"105","Rv0094c",NA,"WhiB4","whiB4","Redox-Responsive transcription regulator that regulates protection response during infection","Redox"
"106","Rv2734","Rv2734","WhiB4","whiB4","Redox-Responsive transcription regulator that regulates protection response during infection","Redox"
"107","Rv2594c","ruvC","WhiB4","whiB4","Redox-Responsive transcription regulator that regulates protection response during infection","Redox"
"108","Rv3644c","Rv3644c","WhiB4","whiB4","Redox-Responsive transcription regulator that regulates protection response during infection","Redox"
"109","Rv2308","Rv2308","WhiB4","whiB4","Redox-Responsive transcription regulator that regulates protection response during infection","Redox"
"110","Rv3714c","Rv3714c","WhiB4","whiB4","Redox-Responsive transcription regulator that regulates protection response during infection","Redox"
"111","Rv1702c","Rv1702c","WhiB4","whiB4","Redox-Responsive transcription regulator that regulates protection response during infection","Redox"
"112","Rv0056","rplI","WhiB4","whiB4","Redox-Responsive transcription regulator that regulates protection response during infection","Redox"
"113","Rv2024c","Rv2024c","WhiB4","whiB4","Redox-Responsive transcription regulator that regulates protection response during infection","Redox"
"114","Rv0058","dnaB","WhiB4","whiB4","Redox-Responsive transcription regulator that regulates protection response during infection","Redox"
"115","Rv1945","Rv1945","WhiB4","whiB4","Redox-Responsive transcription regulator that regulates protection response during infection","Redox"
"116","Rv0059","Rv0059","WhiB4","whiB4","Redox-Responsive transcription regulator that regulates protection response during infection","Redox"
"117","Rv3198A","Rv3198A","WhiB4","whiB4","Redox-Responsive transcription regulator that regulates protection response during infection","Redox"
"118","Rv3201c","Rv3201c","WhiB4","whiB4","Redox-Responsive transcription regulator that regulates protection response during infection","Redox"
"119","Rv1148c","Rv1148c","WhiB4","whiB4","Redox-Responsive transcription regulator that regulates protection response during infection","Redox"
"120","Rv1407","fmu","WhiB4","whiB4","Redox-Responsive transcription regulator that regulates protection response during infection","Redox"
"121","Rv2012","Rv2012","WhiB4","whiB4","Redox-Responsive transcription regulator that regulates protection response during infection","Redox"
"122","Rv1000c","Rv1000c","WhiB4","whiB4","Redox-Responsive transcription regulator that regulates protection response during infection","Redox"
"123","Rv3555c","Rv3555c","WhiB4","whiB4","Redox-Responsive transcription regulator that regulates protection response during infection","Redox"
"124","Rv2015c","Rv2015c","WhiB4","whiB4","Redox-Responsive transcription regulator that regulates protection response during infection","Redox"
"125","Rv2119","Rv2119","WhiB4","whiB4","Redox-Responsive transcription regulator that regulates protection response during infection","Redox"
"126","Rv1316c","ogt","WhiB4","whiB4","Redox-Responsive transcription regulator that regulates protection response during infection","Redox"
"127","Rv0186","bglS","WhiB4","whiB4","Redox-Responsive transcription regulator that regulates protection response during infection","Redox"
"128","Rv3586","Rv3586","WhiB4","whiB4","Redox-Responsive transcription regulator that regulates protection response during infection","Redox"
"129","Rv0071","Rv0071","WhiB4","whiB4","Redox-Responsive transcription regulator that regulates protection response during infection","Redox"
"130","Rv3074","Rv3074","WhiB4","whiB4","Redox-Responsive transcription regulator that regulates protection response during infection","Redox"
"131","Rv2592c","ruvB","WhiB4","whiB4","Redox-Responsive transcription regulator that regulates protection response during infection","Redox"
"132","Rv0336","Rv0336","WhiB4","whiB4","Redox-Responsive transcription regulator that regulates protection response during infection","Redox"
"133","Rv1587c",NA,"WhiB4","whiB4","Redox-Responsive transcription regulator that regulates protection response during infection","Redox"
"134","Rv0055","rpsR1","WhiB4","whiB4","Redox-Responsive transcription regulator that regulates protection response during infection","Redox"
"135","Rv3776","Rv3776","WhiB4","whiB4","Redox-Responsive transcription regulator that regulates protection response during infection","Redox"
"136","Rv3370c","dnaE2","WhiB4","whiB4","Redox-Responsive transcription regulator that regulates protection response during infection","Redox"
"137","Rv2593c","ruvA","WhiB4","whiB4","Redox-Responsive transcription regulator that regulates protection response during infection","Redox"
"138","Rv0607","Rv0607","WhiB4","whiB4","Redox-Responsive transcription regulator that regulates protection response during infection","Redox"
"139","Rv0922","Rv0922","WhiB4","whiB4","Redox-Responsive transcription regulator that regulates protection response during infection","Redox"
"140","Rv0515","Rv0515","WhiB4","whiB4","Redox-Responsive transcription regulator that regulates protection response during infection","Redox"
"141","Rv2886c","Rv2886c","WhiB4","whiB4","Redox-Responsive transcription regulator that regulates protection response during infection","Redox"
"142","Rv2718c","nrdR","WhiB4","whiB4","Redox-Responsive transcription regulator that regulates protection response during infection","Redox"
"143","Rv2717c","Rv2717c","WhiB4","whiB4","Redox-Responsive transcription regulator that regulates protection response during infection","Redox"
"144","Rv2100","Rv2100","WhiB4","whiB4","Redox-Responsive transcription regulator that regulates protection response during infection","Redox"
"145","Rv0605","Rv0605","WhiB4","whiB4","Redox-Responsive transcription regulator that regulates protection response during infection","Redox"
"146","Rv2579","dhaA","WhiB4","whiB4","Redox-Responsive transcription regulator that regulates protection response during infection","Redox"
"147","Rv3828c","Rv3828c","WhiB4","whiB4","Redox-Responsive transcription regulator that regulates protection response during infection","Redox"
"148","Rv3827c","Rv3827c","WhiB4","whiB4","Redox-Responsive transcription regulator that regulates protection response during infection","Redox"
"149","Rv1406","fmt","WhiB4","whiB4","Redox-Responsive transcription regulator that regulates protection response during infection","Redox"
"150","Rv0621","Rv0621","WhiB4","whiB4","Redox-Responsive transcription regulator that regulates protection response during infection","Redox"
"151","Rv2885c","Rv2885c","WhiB4","whiB4","Redox-Responsive transcription regulator that regulates protection response during infection","Redox"
"152","Rv2789c","fadE21","WhiB4","whiB4","Redox-Responsive transcription regulator that regulates protection response during infection","Redox"
"153","Rv2792c","Rv2792c","WhiB4","whiB4","Redox-Responsive transcription regulator that regulates protection response during infection","Redox"
"154","Rv3297","nei","WhiB4","whiB4","Redox-Responsive transcription regulator that regulates protection response during infection","Redox"
"155","Rv3190A","Rv3190A","WhiB4","whiB4","Redox-Responsive transcription regulator that regulates protection response during infection","Redox"
"156","Rv3395c","Rv3395c","WhiB4","whiB4","Redox-Responsive transcription regulator that regulates protection response during infection","Redox"
"157","Rv1279","Rv1279","WhiB4","whiB4","Redox-Responsive transcription regulator that regulates protection response during infection","Redox"
"158","Rv1961","Rv1961","WhiB4","whiB4","Redox-Responsive transcription regulator that regulates protection response during infection","Redox"
"159","Rv1588c","Rv1588c","WhiB4","whiB4","Redox-Responsive transcription regulator that regulates protection response during infection","Redox"
"160","Rv0054","ssb","WhiB4","whiB4","Redox-Responsive transcription regulator that regulates protection response during infection","Redox"
"161","Rv0181c","Rv0181c","WhiB4","whiB4","Redox-Responsive transcription regulator that regulates protection response during infection","Redox"
"162","Rv3202c","Rv3202c","WhiB4","whiB4","Redox-Responsive transcription regulator that regulates protection response during infection","Redox"
"163","Rv3226c","Rv3226c","WhiB4","whiB4","Redox-Responsive transcription regulator that regulates protection response during infection","Redox"
"164","Rv2978c","Rv2978c","WhiB4","whiB4","Redox-Responsive transcription regulator that regulates protection response during infection","Redox"
"165","Rv2979c","Rv2979c","WhiB4","whiB4","Redox-Responsive transcription regulator that regulates protection response during infection","Redox"
"166","Rv3296","lhr","WhiB4","whiB4","Redox-Responsive transcription regulator that regulates protection response during infection","Redox"
"167","Rv3585","radA","WhiB4","whiB4","Redox-Responsive transcription regulator that regulates protection response during infection","Redox"
"168","Rv3517","Rv3517","WhiB4","whiB4","Redox-Responsive transcription regulator that regulates protection response during infection","Redox"
"169","Rv2578c","Rv2578c","WhiB4","whiB4","Redox-Responsive transcription regulator that regulates protection response during infection","Redox"
"170","Rv2191","Rv2191","WhiB4","whiB4","Redox-Responsive transcription regulator that regulates protection response during infection","Redox"
"171","Rv2720","lexA","WhiB4","whiB4","Redox-Responsive transcription regulator that regulates protection response during infection","Redox"
"172","Rv1278","Rv1278","WhiB4","whiB4","Redox-Responsive transcription regulator that regulates protection response during infection","Redox"
"173","Rv3394c","Rv3394c","WhiB4","whiB4","Redox-Responsive transcription regulator that regulates protection response during infection","Redox"
"174","Rv2722","Rv2722","WhiB4","whiB4","Redox-Responsive transcription regulator that regulates protection response during infection","Redox"
"175","Rv2737c","recA","WhiB4","whiB4","Redox-Responsive transcription regulator that regulates protection response during infection","Redox"
"176","Rv1833c","Rv1833c","WhiB4","whiB4","Redox-Responsive transcription regulator that regulates protection response during infection","Redox"
"177","Rv2312","Rv2312","WhiB4","whiB4","Redox-Responsive transcription regulator that regulates protection response during infection","Redox"
"178","Rv1277","Rv1277","WhiB4","whiB4","Redox-Responsive transcription regulator that regulates protection response during infection","Redox"
"179","Rv1547","dnaE1","WhiB4","whiB4","Redox-Responsive transcription regulator that regulates protection response during infection","Redox"
"180","Rv0185","Rv0185","WhiB4","whiB4","Redox-Responsive transcription regulator that regulates protection response during infection","Redox"
"181","Rv3263","Rv3263","WhiB4","whiB4","Redox-Responsive transcription regulator that regulates protection response during infection","Redox"
"182","Rv1765c","Rv1765c","WhiB4","whiB4","Redox-Responsive transcription regulator that regulates protection response during infection","Redox"
"183","Rv2977c","thiL","WhiB4","whiB4","Redox-Responsive transcription regulator that regulates protection response during infection","Redox"
"184","Rv2719c","Rv2719c","WhiB4","whiB4","Redox-Responsive transcription regulator that regulates protection response during infection","Redox"
"185","Rv2308a","Rv2308a","WhiB4","whiB4","Redox-Responsive transcription regulator that regulates protection response during infection","Redox"
"186","Rv1128c","Rv1128c","WhiB4","whiB4","Redox-Responsive transcription regulator that regulates protection response during infection","Redox"
"187","Rv2976c","ung","WhiB4","whiB4","Redox-Responsive transcription regulator that regulates protection response during infection","Redox"
"188","Rv2735c","Rv2735c","WhiB4","whiB4","Redox-Responsive transcription regulator that regulates protection response during infection","Redox"
"189","Rv0921","Rv0921","WhiB4","whiB4","Redox-Responsive transcription regulator that regulates protection response during infection","Redox"
"190","Rv1738","Rv1738","DevR-1","devR","Transcription factor that is one of the primary regulators of hypoxia onset response","Redox"
"191","Rv2626c","hrp1","DevR-1","devR","Transcription factor that is one of the primary regulators of hypoxia onset response","Redox"
"192","Rv0079","Rv0079","DevR-1","devR","Transcription factor that is one of the primary regulators of hypoxia onset response","Redox"
"193","Rv3131","Rv3131","DevR-1","devR","Transcription factor that is one of the primary regulators of hypoxia onset response","Redox"
"194","Rv1737c","narK2","DevR-1","devR","Transcription factor that is one of the primary regulators of hypoxia onset response","Redox"
"195","Rv1736c","narX","DevR-1","devR","Transcription factor that is one of the primary regulators of hypoxia onset response","Redox"
"196","Rv1813c","Rv1813c","DevR-1","devR","Transcription factor that is one of the primary regulators of hypoxia onset response","Redox"
"197","Rv2032","acg","DevR-1","devR","Transcription factor that is one of the primary regulators of hypoxia onset response","Redox"
"198","Rv2031c","hspX","DevR-1","devR","Transcription factor that is one of the primary regulators of hypoxia onset response","Redox"
"199","Rv1733c","Rv1733c","DevR-1","devR","Transcription factor that is one of the primary regulators of hypoxia onset response","Redox"
"200","Rv1996","Rv1996","DevR-1","devR","Transcription factor that is one of the primary regulators of hypoxia onset response","Redox"
"201","Rv3127","Rv3127","DevR-1","devR","Transcription factor that is one of the primary regulators of hypoxia onset response","Redox"
"202","Rv3130c","tgs1","DevR-1","devR","Transcription factor that is one of the primary regulators of hypoxia onset response","Redox"
"203","Rv2007c","fdxA","DevR-1","devR","Transcription factor that is one of the primary regulators of hypoxia onset response","Redox"
"204","Rv2627c","Rv2627c","DevR-1","devR","Transcription factor that is one of the primary regulators of hypoxia onset response","Redox"
"205","Rv2628","Rv2628","DevR-1","devR","Transcription factor that is one of the primary regulators of hypoxia onset response","Redox"
"206","Rv1997","ctpF","DevR-1","devR","Transcription factor that is one of the primary regulators of hypoxia onset response","Redox"
"207","Rv3134c","Rv3134c","DevR-1","devR","Transcription factor that is one of the primary regulators of hypoxia onset response","Redox"
"208","Rv2030c","Rv2030c","DevR-1","devR","Transcription factor that is one of the primary regulators of hypoxia onset response","Redox"
"209","Rv2623","TB31.7","DevR-1","devR","Transcription factor that is one of the primary regulators of hypoxia onset response","Redox"
"210","Rv0569","Rv0569","DevR-1","devR","Transcription factor that is one of the primary regulators of hypoxia onset response","Redox"
"211","Rv0080","Rv0080","DevR-1","devR","Transcription factor that is one of the primary regulators of hypoxia onset response","Redox"
"212","Rv1116","Rv1116","MarR","marR","Transcription factor that regulates the response to acid stress","Acid Stress"
"213","Rv1376","Rv1376","MarR","marR","Transcription factor that regulates the response to acid stress","Acid Stress"
"214","Rv0453","PPE11","MarR","marR","Transcription factor that regulates the response to acid stress","Acid Stress"
"215","Rv1405c","Rv1405c","MarR","marR","Transcription factor that regulates the response to acid stress","Acid Stress"
"216","Rv2389c","rpfD","MarR","marR","Transcription factor that regulates the response to acid stress","Acid Stress"
"217","Rv1507A","Rv1507A","MarR","marR","Transcription factor that regulates the response to acid stress","Acid Stress"
"218","Rv1706c","PPE23","MarR","marR","Transcription factor that regulates the response to acid stress","Acid Stress"
"219","Rv1403c","Rv1403c","MarR","marR","Transcription factor that regulates the response to acid stress","Acid Stress"
"220","Rv1375","Rv1375","MarR","marR","Transcription factor that regulates the response to acid stress","Acid Stress"
"221","Rv2390c","Rv2390c","MarR","marR","Transcription factor that regulates the response to acid stress","Acid Stress"
"222","Rv3745c","Rv3745c","MarR","marR","Transcription factor that regulates the response to acid stress","Acid Stress"
"223","Rv0575c","Rv0575c","MarR","marR","Transcription factor that regulates the response to acid stress","Acid Stress"
"224","Rv0195","Rv0195","MarR","marR","Transcription factor that regulates the response to acid stress","Acid Stress"
"225","Rv3746c","PE34","MarR","marR","Transcription factor that regulates the response to acid stress","Acid Stress"
"226","Rv3532","PPE61","MarR","marR","Transcription factor that regulates the response to acid stress","Acid Stress"
"227","Rv1682","Rv1682","MarR","marR","Transcription factor that regulates the response to acid stress","Acid Stress"
"236","Rv0450c","mmpL4","IdeR","ideR","Metal-Dependent DNA-Binding protein that controls genes related to iron metabolism","Metal Related"
"237","Rv0283","eccB3","IdeR","ideR","Metal-Dependent DNA-Binding protein that controls genes related to iron metabolism","Metal Related"
"238","Rv0286","PPE4","IdeR","ideR","Metal-Dependent DNA-Binding protein that controls genes related to iron metabolism","Metal Related"
"239","Rv2383c","mbtB","IdeR","ideR","Metal-Dependent DNA-Binding protein that controls genes related to iron metabolism","Metal Related"
"240","Rv3840","Rv3840","IdeR","ideR","Metal-Dependent DNA-Binding protein that controls genes related to iron metabolism","Metal Related"
"241","Rv3839","Rv3839","IdeR","ideR","Metal-Dependent DNA-Binding protein that controls genes related to iron metabolism","Metal Related"
"242","Rv2121c","hisG","IdeR","ideR","Metal-Dependent DNA-Binding protein that controls genes related to iron metabolism","Metal Related"
"243","Rv0449c","Rv0449c","IdeR","ideR","Metal-Dependent DNA-Binding protein that controls genes related to iron metabolism","Metal Related"
"244","Rv0287","esxG","IdeR","ideR","Metal-Dependent DNA-Binding protein that controls genes related to iron metabolism","Metal Related"
"245","Rv0451c","mmpS4","IdeR","ideR","Metal-Dependent DNA-Binding protein that controls genes related to iron metabolism","Metal Related"
"246","Rv2380c","mbtE","IdeR","ideR","Metal-Dependent DNA-Binding protein that controls genes related to iron metabolism","Metal Related"
"247","Rv2386c","mbtI","IdeR","ideR","Metal-Dependent DNA-Binding protein that controls genes related to iron metabolism","Metal Related"
"248","Rv1349","irtB","IdeR","ideR","Metal-Dependent DNA-Binding protein that controls genes related to iron metabolism","Metal Related"
"249","Rv1347c","mbtK","IdeR","ideR","Metal-Dependent DNA-Binding protein that controls genes related to iron metabolism","Metal Related"
"250","Rv3841","bfrB","IdeR","ideR","Metal-Dependent DNA-Binding protein that controls genes related to iron metabolism","Metal Related"
"251","Rv0338c","Rv0338c","IdeR","ideR","Metal-Dependent DNA-Binding protein that controls genes related to iron metabolism","Metal Related"
"252","Rv2382c","mbtC","IdeR","ideR","Metal-Dependent DNA-Binding protein that controls genes related to iron metabolism","Metal Related"
